jan.kingdom_matrix.country,jan.kingdom_matrix.kingdom,jan.kingdom_matrix._c2,jan.kingdom_matrix.increase
KR,Protozoa,2624,1.0
KR,Viruses,84,0.0
KW,Animalia,11850,216.0
KW,Bacteria,10,0.0
KW,Chromista,57,2750.0
KW,Fungi,322,0.0
KW,Plantae,1265,8.0
KW,Protozoa,52,No prior occurrences
KY,Animalia,54322,26.0
KY,Bacteria,19,6.0
KY,Chromista,1384,2.0
KY,Fungi,143,347.0
KY,Plantae,1066,127.0
KY,Protozoa,26,13.0
KZ,Animalia,64889,13.0
KZ,Archaea,1,0.0
KZ,Bacteria,12,50.0
KZ,Chromista,6,0.0
KZ,Fungi,468,15.0
KZ,Plantae,17182,11.0
KZ,Protozoa,1523,0.0
LA,Animalia,34882,53.0
LA,Fungi,28,12.0
LA,Plantae,32267,37.0
LA,Protozoa,15,No prior occurrences
LB,Animalia,12072,90.0
LB,Bacteria,27,59.0
LB,Chromista,15,0.0
LB,Fungi,108,238.0
LB,Plantae,11342,24.0
LB,Protozoa,71,29.0
LC,Animalia,16756,31.0
LC,Bacteria,18,50.0
LC,Chromista,15,7.0
LC,Fungi,955,443.0
LC,Plantae,2407,24.0
LC,Protozoa,12,0.0
LI,Animalia,3840,5.0
LI,Bacteria,5,0.0
LI,Fungi,24,50.0
LI,Plantae,1148,6.0
LI,Protozoa,14,100.0
LK,Animalia,83277,59.0
LK,Bacteria,450,32.0
LK,Chromista,331,101.0
LK,Fungi,5227,34.0
LK,Plantae,63482,129.0
LK,Protozoa,2242,2.0
LR,Animalia,55028,13.0
LR,Bacteria,17,13.0
LR,Chromista,71,1.0
LR,Fungi,148,26.0
LR,Plantae,51917,55.0
LR,Protozoa,1649,1.0
LS,Animalia,35650,6.0
LS,Bacteria,6,200.0
LS,Fungi,726,1.0
LS,Plantae,31772,2.0
LT,Animalia,7933,15.0
LT,Bacteria,4,0.0
LT,Chromista,15,114.0
LT,Fungi,424,35.0
LT,Plantae,3044,12.0
LT,Protozoa,591,15.0
LT,Viruses,1,0.0
LU,Animalia,278008,3.0
LU,Bacteria,2,0.0
LU,Chromista,6,0.0
LU,Fungi,16520,1.0
LU,Plantae,405849,1.0
LU,Protozoa,329,46.0
LU,Viruses,88,0.0
LV,Animalia,8945,33.0
LV,Bacteria,3,50.0
LV,Chromista,35,250.0
LV,Fungi,866,89.0
LV,Plantae,2661,36.0
LV,Protozoa,94,2.0
LV,Viruses,2,0.0
LY,Animalia,11841,49.0
LY,Bacteria,18,157.0
LY,Chromista,686,1.0
LY,Fungi,535,36.0
LY,Plantae,5694,26.0
LY,Protozoa,4592,3.0
MA,Animalia,127967,66.0
MA,Archaea,181,0.0
MA,Bacteria,1059,6.0
MA,Chromista,20645,60.0
MA,Fungi,7284,8.0
MA,Plantae,105072,22.0
MA,Protozoa,33979,1.0
MA,Viruses,7,0.0
MC,Animalia,1594,66.0
MC,Bacteria,1,0.0
MC,Chromista,5,0.0
MC,Fungi,12,33.0
MC,Plantae,195,112.0
MC,Protozoa,3,No prior occurrences
MD,Animalia,3130,4.0
MD,Chromista,4,33.0
MD,Fungi,42,5.0
MD,Plantae,3837,6.0
MD,Protozoa,120,9.0
ME,Animalia,6009,55.0
ME,Bacteria,18,0.0
ME,Chromista,2,100.0
ME,Fungi,1163,11.0
ME,Plantae,2601,26.0
ME,Protozoa,4,300.0
MF,Animalia,7642,17.0
MF,Chromista,3,0.0
MF,Plantae,61,5.0
MF,Protozoa,43,0.0
MG,Animalia,787054,7.0
MG,Bacteria,1287,7471.0
MG,Chromista,130,110.0
MG,Fungi,1269,34.0
MG,Plantae,349712,12.0
MG,Protozoa,3546,18.0
MH,Animalia,40358,27.0
MH,Bacteria,903,3.0
MH,Chromista,6863,0.0
MH,Fungi,233,10.0
MH,Plantae,8265,97.0
MH,Protozoa,40816,0.0
MK,Animalia,12359,21.0
MK,Bacteria,17,No prior occurrences
MK,Chromista,4,33.0
MK,Fungi,264,31.0
MK,Plantae,4662,32.0
MK,Protozoa,49,2350.0
ML,Animalia,7997,33.0
ML,Bacteria,7,133.0
ML,Chromista,31,0.0
ML,Fungi,91,11.0
ML,Plantae,26439,8.0
ML,Protozoa,1,0.0
MM,Animalia,69615,26.0
MM,Archaea,2,0.0
MM,Bacteria,2099,1.0
MM,Chromista,67,60.0
MM,Fungi,634,15.0
MM,Plantae,21733,77.0
MM,Protozoa,921,34.0
MN,Animalia,123896,9.0
MN,Bacteria,47,0.0
MN,Chromista,4,33.0
MN,Fungi,1604,10.0
MN,Plantae,7401,8.0
MN,Protozoa,79,23.0
MN,Viruses,1,0.0
MO,Animalia,64,1500.0
MO,Fungi,2,100.0
MO,Plantae,233,20.0
MP,Animalia,20020,10.0
MP,Archaea,1751,0.0
MP,Bacteria,16818,0.0
MP,Chromista,1733,0.0
MP,Fungi,21,24.0
MP,Plantae,1899,113.0
MP,Protozoa,6899,0.0
MQ,Animalia,11187,14.0
MQ,Bacteria,101,304.0
MQ,Chromista,284,16.0
MQ,Fungi,475,64.0
MQ,Plantae,15524,40.0
MQ,Protozoa,54,42.0
MQ,Viruses,2,0.0
MR,Animalia,26108,66.0
MR,Bacteria,10,11.0
MR,Chromista,44,19.0
MR,Fungi,22,47.0
MR,Plantae,3465,121.0
MR,Protozoa,3326,0.0
MS,Animalia,12298,5.0
MS,Chromista,9,0.0
MS,Fungi,11,0.0
MS,Plantae,2163,64.0
MS,Protozoa,379,0.0
MT,Animalia,15190,16.0
MT,Bacteria,318,84.0
MT,Chromista,55,49.0
MT,Fungi,219,39.0
MT,Plantae,687,62.0
MT,Protozoa,820,79.0
MU,Animalia,65492,14.0
MU,Bacteria,124,10.0
MU,Chromista,201,107.0
MU,Fungi,2082,13.0
MU,Plantae,10193,79.0
MU,Protozoa,2878,7.0
MV,Animalia,18218,37.0
MV,Bacteria,7,0.0
MV,Chromista,4255,0.0
MV,Fungi,38,0.0
MV,Plantae,854,43.0
MV,Protozoa,29493,0.0
MW,Animalia,82891,23.0
MW,Bacteria,46,15.0
MW,Chromista,53,0.0
MW,Fungi,1555,3.0
MW,Plantae,29675,29.0
MW,Protozoa,1161,13.0
MW,Viruses,1,0.0
MX,Animalia,5104087,21.0
MX,Archaea,534,17.0
MX,Bacteria,7557,10.0
MX,Chromista,53855,1.0
MX,Fungi,54569,13.0
MX,Plantae,2012191,7.0
MX,Protozoa,54204,5.0
MX,Viruses,4,33.0
MY,Animalia,282123,37.0
MY,Bacteria,790,160.0
MY,Chromista,574,17.0
MY,Fungi,11697,9.0
MY,Plantae,146340,69.0
MY,Protozoa,6387,30.0
MZ,Animalia,104736,18.0
MZ,Bacteria,16,0.0
MZ,Chromista,96,48.0
MZ,Fungi,450,24.0
MZ,Plantae,51148,40.0
MZ,Protozoa,355,21.0
MZ,Viruses,2,0.0
NA,Animalia,323934,16.0
NA,Archaea,8,0.0
NA,Bacteria,135,207.0
NA,Chromista,10152,0.0
NA,Fungi,2041,89.0
NA,Plantae,121296,7.0
NA,Protozoa,31173,1.0
NC,Animalia,130554,30.0
NC,Bacteria,246,68.0
NC,Chromista,2320,5.0
NC,Fungi,976,58.0
NC,Plantae,190113,71.0
NC,Protozoa,9524,0.0
NE,Animalia,8791,134.0
NE,Bacteria,8,33.0
NE,Fungi,86,4.0
NE,Plantae,7492,10.0
NE,Viruses,2,0.0
NF,Animalia,5208,48.0
NF,Chromista,122,2.0
NF,Fungi,397,2.0
NF,Plantae,1908,48.0
NF,Protozoa,224,14.0
NG,Animalia,93438,23.0
NG,Bacteria,344,21.0
NG,Chromista,225,10.0
NG,Fungi,5426,1.0
NG,Plantae,59709,31.0
NG,Protozoa,1350,12.0
NG,Viruses,21,0.0
NI,Animalia,359171,15.0
NI,Bacteria,70,1.0
NI,Chromista,268,0.0
NI,Fungi,734,9.0
NI,Plantae,155894,4.0
NI,Protozoa,2519,0.0
NL,Animalia,3646301,23.0
NL,Archaea,695,0.0
NL,Bacteria,78523,7.0
NL,Chromista,309933,9.0
NL,Fungi,109042,13.0
NL,Plantae,11826000,5.0
NL,Protozoa,92686,17.0
NL,Viruses,102,0.0
NO,Animalia,13435247,56.0
NO,Archaea,67,0.0
NO,Bacteria,4569,14.0
NO,Chromista,36645,7.0
NO,Fungi,1042063,41.0
NO,Plantae,4735099,31.0
NO,Protozoa,138635,2.0
NO,Viruses,4,0.0
NP,Animalia,64419,35.0
NP,Bacteria,320,527.0
NP,Chromista,7,0.0
NP,Fungi,3424,17.0
NP,Plantae,70604,38.0
NP,Protozoa,183,289.0
NR,Animalia,663,6.0
NR,Bacteria,1,0.0
NR,Chromista,2,0.0
NR,Fungi,17,0.0
NR,Plantae,87,28.0
NR,Protozoa,384,0.0
NU,Animalia,9652,53.0
NU,Archaea,39,0.0
NU,Bacteria,911,0.0
NU,Chromista,7,17.0
NU,Fungi,268,5.0
NU,Plantae,2238,497.0
NU,Protozoa,5,67.0
NZ,Animalia,819902,16.0
NZ,Archaea,15,50.0
NZ,Bacteria,67917,1.0
NZ,Chromista,15940,14.0
NZ,Fungi,93913,53.0
NZ,Plantae,1599543,21.0
NZ,Protozoa,71251,3.0
NZ,Viruses,3,0.0
OM,Animalia,44962,38.0
OM,Archaea,148,0.0
OM,Bacteria,1428,0.0
OM,Chromista,21155,0.0
OM,Fungi,208,9.0
OM,Plantae,12752,15.0
OM,Protozoa,28792,1.0
PA,Animalia,742898,32.0
PA,Archaea,124,0.0
PA,Bacteria,11494,0.0
PA,Chromista,1076,1.0
PA,Fungi,25972,999.0
PA,Plantae,245039,8.0
PA,Protozoa,10505,1.0
PE,Animalia,1012779,38.0
PE,Archaea,865,0.0
PE,Bacteria,6357,13.0
PE,Chromista,1834,3.0
PE,Fungi,6841,114.0
PE,Plantae,881368,8.0
PE,Protozoa,56396,0.0
PE,Viruses,6,0.0
PF,Animalia,127095,14.0
PF,Archaea,40,0.0
PF,Bacteria,641,4.0
PF,Chromista,1171,9.0
PF,Fungi,1016,45.0
PF,Plantae,52742,112.0
PF,Protozoa,2625,7.0
PG,Animalia,458632,21.0
PG,Archaea,2,0.0
PG,Bacteria,204,36.0
PG,Chromista,4946,4.0
PG,Fungi,26485,44.0
PG,Plantae,552334,96.0
PG,Protozoa,10621,3.0
PH,Animalia,587204,12.0
PH,Archaea,27,0.0
PH,Bacteria,2706,5.0
PH,Chromista,4528,6.0
PH,Fungi,10323,93.0
PH,Plantae,221269,112.0
PH,Protozoa,18791,1.0
PH,Viruses,1,0.0
PK,Animalia,65036,33.0
PK,Archaea,1,No prior occurrences
PK,Bacteria,131,93.0
PK,Chromista,1478,3.0
PK,Fungi,6269,5.0
PK,Plantae,78002,7.0
PK,Protozoa,4431,34.0
PK,Viruses,5,No prior occurrences
PL,Animalia,1308713,1.0
PL,Bacteria,2781,6.0
PL,Chromista,423,23.0
PL,Fungi,39241,13.0
PL,Plantae,244813,7.0
PL,Protozoa,2079,224.0
PL,Viruses,125,0.0
PM,Animalia,5322,1.0
PM,Chromista,626,1.0
PM,Fungi,62,121.0
PM,Plantae,658,8.0
PM,Protozoa,969,0.0
PN,Animalia,6123,9.0
PN,Bacteria,1,0.0
PN,Chromista,9,0.0
PN,Fungi,24,100.0
PN,Plantae,1617,187.0
PN,Protozoa,28,0.0
PR,Animalia,365055,36.0
PR,Archaea,5,0.0
PR,Bacteria,8730,1.0
PR,Chromista,1487,54.0
PR,Fungi,5691,157.0
PR,Plantae,134934,50.0
PR,Protozoa,16958,1.0
PS,Animalia,15635,286.0
PS,Bacteria,5,No prior occurrences
PS,Chromista,12,No prior occurrences
PS,Fungi,9,13.0
PS,Plantae,70239,11452.0
PS,Protozoa,576,28700.0
PT,Animalia,412216,113.0
PT,Archaea,62,0.0
PT,Bacteria,15957,1.0
PT,Chromista,21456,3.0
PT,Fungi,24045,34.0
PT,Plantae,323280,145.0
PT,Protozoa,142953,0.0
PT,Viruses,1,0.0
PW,Animalia,95549,10.0
PW,Bacteria,66,3.0
PW,Chromista,1212,0.0
PW,Fungi,113,6.0
PW,Plantae,8255,139.0
PW,Protozoa,278,4.0
PY,Animalia,112979,14.0
PY,Bacteria,15,36.0
PY,Chromista,3,0.0
PY,Fungi,1984,214.0
PY,Plantae,188563,26.0
PY,Protozoa,14,40.0
QA,Animalia,4579,72.0
QA,Bacteria,14,1300.0
QA,Chromista,15,150.0
QA,Fungi,32,0.0
QA,Plantae,473,231.0
QA,Protozoa,595,1222.0
QO,Animalia,54,0.0
QO,Fungi,1,0.0
QO,Plantae,12,0.0
RE,Animalia,7587,24.0
RE,Bacteria,35,119.0
RE,Chromista,35,21.0
RE,Fungi,1370,12.0
RE,Plantae,12268,40.0
RE,Protozoa,3068,0.0
RO,Animalia,145779,10.0
RO,Archaea,8,0.0
RO,Bacteria,123,31.0
RO,Chromista,376,13.0
RO,Fungi,5743,44.0
RO,Plantae,35153,31.0
RO,Protozoa,489,21.0
RO,Viruses,2,0.0
RS,Animalia,14319,172.0
RS,Bacteria,16,23.0
RS,Chromista,12,No prior occurrences
RS,Fungi,209,109.0
RS,Plantae,2951,52.0
RS,Protozoa,22,0.0
RU,Animalia,899771,149.0
RU,Archaea,1395,5713.0
RU,Bacteria,27356,9.0
RU,Chromista,35789,1.0
RU,Fungi,31119,44.0
RU,Plantae,246265,26.0
RU,Protozoa,51242,1.0
RU,Viruses,2,0.0
RW,Animalia,36697,28.0
RW,Bacteria,32,10.0
RW,Chromista,14,0.0
RW,Fungi,212,26.0
RW,Plantae,13302,69.0
RW,Protozoa,866,100.0
SA,Animalia,80368,43.0
SA,Archaea,1,0.0
SA,Bacteria,35,52.0
SA,Chromista,201,6.0
SA,Fungi,1029,2.0
SA,Plantae,13618,20.0
SA,Protozoa,1914,6.0
SB,Animalia,74938,20.0
SB,Bacteria,133,343.0
SB,Chromista,384,21.0
SB,Fungi,2913,62.0
SB,Plantae,39914,240.0
SB,Protozoa,1572,5.0
SC,Animalia,85634,18.0
SC,Bacteria,104,70.0
SC,Chromista,5801,0.0
SC,Fungi,1383,141.0
SC,Plantae,5460,69.0
SC,Protozoa,16660,0.0
SD,Animalia,34859,36.0
SD,Bacteria,103,21.0
SD,Chromista,807,0.0
SD,Fungi,1483,1.0
SD,Plantae,13682,37.0
SD,Protozoa,6779,0.0
SD,Viruses,9,0.0
SE,Animalia,38477653,12.0
SE,Archaea,2,0.0
SE,Bacteria,4958,18.0
SE,Chromista,19854,43.0
SE,Fungi,2303946,22.0
SE,Plantae,8702867,23.0
SE,Protozoa,17380,29.0
SE,Viruses,25,0.0
SG,Animalia,45278,52.0
SG,Bacteria,64,52.0
SG,Chromista,341,124.0
SG,Fungi,1918,15.0
SG,Plantae,10672,154.0
SG,Protozoa,288,3.0
SG,Viruses,1,0.0
SH,Animalia,7408,10.0
SH,Bacteria,15,200.0
SH,Chromista,412,1.0
SH,Fungi,474,24.0
SH,Plantae,3354,30.0
SH,Protozoa,20437,1.0
SI,Animalia,20890,28.0
SI,Bacteria,150,1.0
SI,Chromista,492,2.0
SI,Fungi,177631,0.0
SI,Plantae,80036,3.0
SI,Protozoa,631,1.0
SI,Viruses,5,0.0
SJ,Animalia,5286,62.0
SJ,Bacteria,3,200.0
SJ,Chromista,268,570.0
SJ,Fungi,4909,110.0
SJ,Plantae,3425,154.0
SJ,Protozoa,1,0.0
SK,Animalia,26878,14.0
SK,Bacteria,18,0.0
SK,Chromista,465,7.0
SK,Fungi,6426,49.0
SK,Plantae,123028,2.0
SK,Protozoa,129,95.0
SL,Animalia,41505,19.0
SL,Bacteria,19,6.0
SL,Chromista,63,3.0
SL,Fungi,3884,7.0
SL,Plantae,19751,23.0
SL,Protozoa,845,0.0
SM,Animalia,491,5.0
SM,Fungi,8,14.0
SM,Plantae,65,14.0
SN,Animalia,74423,74.0
SN,Archaea,1,0.0
SN,Bacteria,61,13.0
SN,Chromista,692,2.0
SN,Fungi,159,21.0
SN,Plantae,23696,19.0
SN,Protozoa,10095,0.0
SO,Animalia,28463,16.0
SO,Bacteria,352,17500.0
SO,Chromista,105,24.0
SO,Fungi,120,32.0
SO,Plantae,11377,21.0
SO,Protozoa,3286,2.0
SR,Animalia,110867,34.0
SR,Bacteria,23,667.0
SR,Chromista,372,1.0
SR,Fungi,853,60.0
SR,Plantae,84567,109.0
SR,Protozoa,1610,0.0
SS,Animalia,797,114.0
SS,Fungi,1,No prior occurrences
SS,Plantae,338,199.0
ST,Animalia,11298,28.0
ST,Bacteria,1358,0.0
ST,Chromista,29,0.0
ST,Fungi,96,465.0
ST,Plantae,3847,50.0
ST,Protozoa,1762,0.0
SV,Animalia,108904,70.0
SV,Bacteria,40,0.0
SV,Chromista,46,0.0
SV,Fungi,2825,1.0
SV,Plantae,32351,18.0
SV,Protozoa,145,1.0
SX,Animalia,503,6.0
SX,Bacteria,53,2550.0
SX,Chromista,156,1318.0
SX,Fungi,3,50.0
SX,Plantae,1250,787.0
SY,Animalia,8978,34.0
SY,Bacteria,179,72.0
SY,Chromista,7,No prior occurrences
SY,Fungi,632,9.0
SY,Plantae,32593,13.0
SY,Protozoa,133,454.0
SY,Viruses,1,0.0
SZ,Animalia,145295,2.0
SZ,Chromista,1,No prior occurrences
SZ,Fungi,348,2.0
SZ,Plantae,35689,1.0
SZ,Protozoa,27,59.0
TC,Animalia,12576,38.0
TC,Bacteria,26,0.0
TC,Chromista,10,0.0
TC,Fungi,2,0.0
TC,Plantae,2409,85.0
TC,Protozoa,173,0.0
TD,Animalia,7280,32.0
TD,Bacteria,19,0.0
TD,Fungi,33,57.0
TD,Plantae,3551,30.0
TD,Protozoa,5,0.0
TF,Animalia,9518,19.0
TF,Bacteria,1,0.0
TF,Chromista,345,8.0
TF,Fungi,550,213.0
TF,Plantae,5661,16.0
TF,Protozoa,2,100.0
TG,Animalia,16399,19.0
TG,Bacteria,830,0.0
TG,Chromista,18,6.0
TG,Fungi,270,15.0
TG,Plantae,18745,12.0
TG,Protozoa,44,0.0
TG,Viruses,1,0.0
TH,Animalia,403876,71.0
TH,Archaea,1,0.0
TH,Bacteria,1471,128.0
TH,Chromista,312,20.0
TH,Fungi,3218,65.0
TH,Plantae,344951,393.0
TH,Protozoa,1181,10.0
TH,Viruses,2,0.0
TJ,Animalia,3852,13.0
TJ,Bacteria,7,0.0
TJ,Fungi,126,57.0
TJ,Plantae,11803,7.0
TJ,Protozoa,26,0.0
TK,Animalia,600,10.0
TK,Fungi,30,0.0
TK,Plantae,217,256.0
TL,Animalia,5200,60.0
TL,Chromista,18,0.0
TL,Fungi,2,No prior occurrences
TL,Plantae,3651,624.0
TL,Protozoa,306,12.0
TM,Animalia,4818,19.0
TM,Bacteria,3,0.0
TM,Chromista,1,0.0
TM,Fungi,66,53.0
TM,Plantae,8299,14.0
TM,Protozoa,14,0.0
TN,Animalia,140575,269.0
TN,Archaea,3,0.0
TN,Bacteria,266,113.0
TN,Chromista,810,2.0
TN,Fungi,517,25.0
TN,Plantae,23451,30.0
TN,Protozoa,5298,1.0
TO,Animalia,16158,16.0
TO,Archaea,480,0.0
TO,Bacteria,4729,0.0
TO,Chromista,140,25.0
TO,Fungi,610,7.0
TO,Plantae,8890,234.0
TO,Protozoa,1958,4.0
TR,Animalia,132298,76.0
TR,Bacteria,2329,4.0
TR,Chromista,755,11.0
TR,Fungi,4787,24.0
TR,Plantae,170389,16.0
TR,Protozoa,1765,15.0
TR,Viruses,2,0.0
TT,Animalia,183647,38.0
TT,Bacteria,107,15.0
TT,Chromista,201,39.0
TT,Fungi,3608,89.0
TT,Plantae,17911,52.0
TT,Protozoa,2139,7.0
TV,Animalia,2651,13.0
TV,Bacteria,6,0.0
TV,Chromista,519,0.0
TV,Fungi,118,0.0
TV,Plantae,429,472.0
TV,Protozoa,90,48.0
TW,Animalia,412665,33.0
TW,Archaea,29,21.0
TW,Bacteria,1620,65.0
TW,Chromista,1621,2.0
TW,Fungi,5983,5.0
TW,Plantae,714058,25.0
TW,Protozoa,83717,0.0
TW,Viruses,62,5.0
TZ,Animalia,321518,50.0
TZ,Archaea,2,0.0
TZ,Bacteria,239,55.0
TZ,Chromista,403,10.0
TZ,Fungi,6604,16.0
TZ,Plantae,171889,22.0
TZ,Protozoa,2660,49.0
TZ,Viruses,3,0.0
UA,Animalia,23963,39.0
UA,Archaea,41,5.0
UA,Bacteria,557,3.0
UA,Chromista,21,91.0
UA,Fungi,2426,148.0
UA,Plantae,41668,8.0
UA,Protozoa,2710,6.0
UA,Viruses,23,0.0
UG,Animalia,223413,116.0
UG,Bacteria,159,94.0
UG,Chromista,99,0.0
UG,Fungi,3214,27.0
UG,Plantae,22563,36.0
UG,Protozoa,35,52.0
UG,Viruses,3,0.0
UM,Animalia,11618,13.0
UM,Bacteria,27,23.0
UM,Chromista,26,73.0
UM,Fungi,34,6.0
UM,Plantae,680,64.0
UM,Protozoa,6,0.0
US,Animalia,156387320,44.0
US,Archaea,3772,83.0
US,Bacteria,262812,11.0
US,Chromista,128091,9.0
US,Fungi,629853,31.0
US,Plantae,9103982,53.0
US,Protozoa,334190,11.0
US,Viruses,407,153.0
UY,Animalia,36077,24.0
UY,Archaea,57,0.0
UY,Bacteria,2805,8.0
UY,Chromista,100,15.0
UY,Fungi,2246,38.0
UY,Plantae,25654,19.0
UY,Protozoa,244,35.0
UZ,Animalia,6723,32.0
UZ,Bacteria,4,0.0
UZ,Chromista,4,0.0
UZ,Fungi,109,98.0
UZ,Plantae,10864,11.0
UZ,Protozoa,58,0.0
VA,Animalia,144,157.0
VA,Plantae,20,400.0
VC,Animalia,16120,22.0
VC,Bacteria,23,53.0
VC,Chromista,40,21.0
VC,Fungi,649,883.0
VC,Plantae,3981,41.0
VC,Protozoa,29,0.0
VE,Animalia,567575,43.0
VE,Archaea,37,0.0
VE,Bacteria,9547,1.0
VE,Chromista,1928,8.0
VE,Fungi,10806,20.0
VE,Plantae,269892,25.0
VE,Protozoa,13241,3.0
VG,Animalia,20907,19.0
VG,Bacteria,2,100.0
VG,Chromista,51,2.0
VG,Fungi,13,0.0
VG,Plantae,2285,6.0
VG,Protozoa,362,0.0
VI,Animalia,53394,20.0
VI,Bacteria,41,14.0
VI,Chromista,278,3.0
VI,Fungi,89,27.0
VI,Plantae,16560,39.0
VI,Protozoa,164,0.0
VN,Animalia,104449,37.0
VN,Bacteria,227,99.0
VN,Chromista,183,4.0
VN,Fungi,442,39.0
VN,Plantae,89817,33.0
VN,Protozoa,11390,0.0
VN,Viruses,1,0.0
VU,Animalia,49727,20.0
VU,Bacteria,5,25.0
VU,Chromista,3040,0.0
VU,Fungi,2185,34.0
VU,Plantae,13469,72.0
VU,Protozoa,7687,0.0
WF,Animalia,3414,20.0
WF,Fungi,18,38.0
WF,Plantae,771,123.0
WS,Animalia,15376,27.0
WS,Bacteria,34,31.0
WS,Chromista,51,38.0
WS,Fungi,930,6.0
WS,Plantae,13703,162.0
WS,Protozoa,43,72.0
XZ,Bacteria,9,0.0
YE,Animalia,22782,31.0
YE,Bacteria,7,75.0
YE,Chromista,3136,1.0
YE,Fungi,562,19.0
YE,Plantae,26468,7.0
YE,Protozoa,26899,0.0
YT,Animalia,7861,34.0
YT,Fungi,232,0.0
YT,Plantae,6912,4.0
YT,Protozoa,55,0.0
ZA,Animalia,10063165,2.0
ZA,Archaea,88,0.0
ZA,Bacteria,2201,234.0
ZA,Chromista,3125,20.0
ZA,Fungi,25669,21.0
ZA,Plantae,1678165,7.0
ZA,Protozoa,32177,2.0
ZA,Viruses,4,0.0
ZM,Animalia,89500,22.0
ZM,Bacteria,81,21.0
ZM,Chromista,17,0.0
ZM,Fungi,2550,2.0
ZM,Plantae,26433,21.0
ZM,Protozoa,125,131.0
ZM,Viruses,1,0.0
ZW,Animalia,159225,12.0
ZW,Bacteria,133,15.0
ZW,Chromista,9,0.0
ZW,Fungi,2256,4.0
ZW,Plantae,35982,25.0
ZW,Protozoa,17,183.0
ZZ,Animalia,152547,11.0
ZZ,Bacteria,6221,1113.0
ZZ,Chromista,13111,682.0
ZZ,Fungi,14990,688.0
ZZ,Plantae,681330,1050.0
ZZ,Protozoa,1296,16.0
ZZ,Viruses,6,0.0
